h003_forward_evidence_rank,symbol,h003_forward_evidence_score,candidate_source_count,semantic_candidate_count,accepted_claim_count,accepted_source_count,open_or_unresolved_claim_count,open_source_count,open_claim_type_count,accepted_source_rate,open_source_rate,open_claim_rate,open_claim_type_diversity,pillar_diversity
80,COALINDIA,0.146,1,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
81,COFORGE,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
82,CUMMINSIND,0.146,8,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
83,DMART,0.146,2,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
84,GAIL,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
85,GLENMARK,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
86,GMRAIRPORT,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
87,HINDPETRO,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
88,INDUSTOWER,0.146,8,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
89,IOC,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
90,ITC,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
91,JSWSTEEL,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
92,LT,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
93,MARUTI,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
94,NESTLEIND,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
95,ONGC,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
96,SRF,0.146,1,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
97,TORNTPHARM,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
98,TRENT,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
99,UNITDSPR,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
100,VEDL,0.146,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
